latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
39.0664,22.431,308.5,1.2,1.1,2000-11-01,953,Terra,MODIS,66,6.03,294.9,5.7,D,0
38.6703,22.5078,312.2,1.2,1.1,2000-11-01,953,Terra,MODIS,72,6.03,297.9,8.2,D,0
40.8941,21.4627,307.4,1.1,1,2000-11-01,953,Terra,MODIS,60,6.03,288.3,7.5,D,0
41.2814,26.2883,303,1.2,1.1,2000-11-03,940,Terra,MODIS,51,6.03,292.1,5.5,D,0
39.917,22.5219,302,1,1,2000-11-03,941,Terra,MODIS,47,6.03,290.7,4.1,D,0
38.6721,22.5632,309.7,1,1,2000-11-03,941,Terra,MODIS,60,6.03,298.6,5.8,D,0
35.3737,23.5924,312.3,1.1,1.1,2000-11-03,942,Terra,MODIS,29,6.03,296.4,8.5,D,0
35.3641,23.5909,316.8,1.1,1.1,2000-11-03,942,Terra,MODIS,68,6.03,299.4,12.7,D,0
35.4093,23.9828,310,1.2,1.1,2000-11-03,942,Terra,MODIS,62,6.03,297,7,D,0
35.5913,23.75,312,1.1,1.1,2000-11-03,942,Terra,MODIS,65,6.03,297.3,8.3,D,0
37.1956,22.3603,306.9,1,1,2000-11-03,942,Terra,MODIS,63,6.03,296,4.2,D,0
35.3664,23.578,314.1,1.1,1.1,2000-11-03,942,Terra,MODIS,59,6.03,298.4,9.7,D,0
38.4632,22.8887,309.9,1.1,1,2000-11-05,929,Terra,MODIS,69,6.03,295.5,7.7,D,0
35.2104,24.4814,307.8,1,1,2000-11-05,930,Terra,MODIS,45,6.03,297.2,4.6,D,0
35.2379,24.5435,318.7,1,1,2000-11-05,930,Terra,MODIS,74,6.03,297.1,12.7,D,0
35.1145,25.9181,311.2,1.1,1,2000-11-05,930,Terra,MODIS,59,6.03,299.4,8.4,D,0
40.6438,21.5815,306.3,1.9,1.3,2000-11-07,916,Terra,MODIS,60,6.03,290.1,12.8,D,0
39.9961,25.1367,319.9,1.2,1.1,2000-11-07,916,Terra,MODIS,0,6.03,291.8,21.3,D,0
40.5402,21.7363,302.8,1.8,1.3,2000-11-07,916,Terra,MODIS,43,6.03,287.9,8.9,D,0
37.5628,25.1329,315.6,1.1,1.1,2000-11-07,917,Terra,MODIS,48,6.03,297.6,12.6,D,0
35.3611,23.5663,310.4,1.2,1.1,2000-11-07,918,Terra,MODIS,37,6.03,299.2,7,D,0
35.1247,26.1959,312.2,1,1,2000-11-07,918,Terra,MODIS,62,6.03,299,6.5,D,0
35.2537,24.3778,309,1.1,1.1,2000-11-07,918,Terra,MODIS,53,6.03,296.6,6.3,D,0
35.3596,23.5799,318.3,1.2,1.1,2000-11-07,918,Terra,MODIS,73,6.03,302,16.1,D,0
37.9068,24.8628,324.4,1.3,1.1,2000-11-07,2021,Terra,MODIS,100,6.03,291.9,33.9,N,0
37.9041,24.8483,306.6,1.3,1.1,2000-11-07,2021,Terra,MODIS,69,6.03,290.9,11.4,N,0
37.8942,24.8518,316.3,1.3,1.1,2000-11-07,2021,Terra,MODIS,93,6.03,291.3,22.1,N,0
38.013,24.3762,315.2,1.3,1.1,2000-11-10,947,Terra,MODIS,64,6.03,291.7,15.1,D,0
35.0985,25.9791,311.6,1.3,1.1,2000-11-10,2051,Terra,MODIS,75,6.03,281.6,18.5,N,0
35.1085,25.9778,344.7,1.3,1.1,2000-11-10,2051,Terra,MODIS,100,6.03,283.1,76.2,N,0
35.097,25.9662,308.9,1.3,1.1,2000-11-10,2051,Terra,MODIS,63,6.03,281.2,15.8,N,0
35.107,25.9645,340.4,1.3,1.1,2000-11-10,2051,Terra,MODIS,100,6.03,283.2,65.4,N,0
35.1718,25.0503,312.8,2.3,1.5,2000-11-11,853,Terra,MODIS,56,6.03,293.3,29.3,D,0
35.1624,25.0445,314.4,2.3,1.5,2000-11-11,853,Terra,MODIS,51,6.03,293.3,31.1,D,0
41.0971,25.5518,318,1,1,2000-11-12,934,Terra,MODIS,78,6.03,296.5,13.3,D,0
41.0829,25.5228,308.1,1,1,2000-11-12,934,Terra,MODIS,44,6.03,295.9,4.4,D,0
41.0267,23.4244,302.8,1,1,2000-11-12,934,Terra,MODIS,54,6.03,291.6,3.2,D,0
41.081,25.5349,311.2,1,1,2000-11-12,934,Terra,MODIS,70,6.03,295.6,6.7,D,0
41.0175,24.7507,316.2,1,1,2000-11-12,934,Terra,MODIS,76,6.03,294.5,11.5,D,0
41.0797,23.3081,303.6,1,1,2000-11-12,934,Terra,MODIS,56,6.03,290.1,4.1,D,0
40.685,22.6969,319.3,1,1,2000-11-12,935,Terra,MODIS,79,6.03,291.9,16,D,0
40.5907,22.7808,303.4,1,1,2000-11-12,935,Terra,MODIS,34,6.03,287.9,4.2,D,0
40.5924,22.7688,309.6,1,1,2000-11-12,935,Terra,MODIS,66,6.03,288,8,D,0
40.6129,22.8166,308,1,1,2000-11-12,935,Terra,MODIS,63,6.03,289.4,7.2,D,0
40.6146,22.8046,315.7,1,1,2000-11-12,935,Terra,MODIS,76,6.03,289.8,13.1,D,0
40.6301,22.7587,305.9,1,1,2000-11-12,935,Terra,MODIS,62,6.03,291.4,5.4,D,0
40.6645,22.779,304.5,1,1,2000-11-12,935,Terra,MODIS,59,6.03,291.1,4.5,D,0
40.6694,22.7429,304.3,1,1,2000-11-12,935,Terra,MODIS,59,6.03,291.7,4.6,D,0
40.6711,22.7309,307.6,1,1,2000-11-12,935,Terra,MODIS,66,6.03,291.3,6.6,D,0
39.82,25.1829,301.2,1,1,2000-11-12,935,Terra,MODIS,45,6.03,290.6,3.1,D,0
38.563,23.2953,304.2,1,1,2000-11-12,935,Terra,MODIS,15,6.03,292,3.3,D,0
40.5632,22.5015,301.8,1,1,2000-11-12,935,Terra,MODIS,49,6.03,289.4,4.2,D,0
40.6948,22.6245,306.1,1,1,2000-11-12,935,Terra,MODIS,63,6.03,290,6.1,D,0
40.6932,22.6365,319.8,1,1,2000-11-12,935,Terra,MODIS,80,6.03,290.6,17.2,D,0
40.5373,22.6945,303.1,1,1,2000-11-12,935,Terra,MODIS,39,6.03,288.2,5,D,0
40.5463,22.6965,300.4,1,1,2000-11-12,935,Terra,MODIS,22,6.03,288.6,3.3,D,0
40.5751,22.6907,302.5,1,1,2000-11-12,935,Terra,MODIS,43,6.03,289.6,4,D,0
40.598,22.6587,306.2,1,1,2000-11-12,935,Terra,MODIS,63,6.03,289.8,6.3,D,0
40.5997,22.6466,300.8,1,1,2000-11-12,935,Terra,MODIS,42,6.03,290.2,3.1,D,0
40.6298,22.6222,302.6,1,1,2000-11-12,935,Terra,MODIS,48,6.03,289.8,3.7,D,0
40.6389,22.6242,301.2,1,1,2000-11-12,935,Terra,MODIS,36,6.03,289.7,2.9,D,0
40.6544,22.5779,312.8,1,1,2000-11-12,935,Terra,MODIS,73,6.03,290.6,11,D,0
37.9037,24.8449,323.3,4,1.9,2000-11-13,1018,Terra,MODIS,72,6.03,288.8,150.6,D,0
37.8996,24.8349,323,4,1.9,2000-11-13,1018,Terra,MODIS,71,6.03,288.6,159.9,D,0
41.2635,22.8236,308.3,1.3,1.1,2000-11-14,922,Terra,MODIS,67,6.03,285.1,12.2,D,0
37.5765,25.2092,311.4,1,1,2000-11-14,923,Terra,MODIS,48,6.03,292.4,10.1,D,0
38.1284,21.6372,302.5,1.4,1.2,2000-11-14,923,Terra,MODIS,51,6.03,292,5.2,D,0
35.418,23.6213,305,1.1,1,2000-11-14,924,Terra,MODIS,54,6.03,292.2,5.7,D,0
35.1972,24.6371,317.8,1,1,2000-11-14,924,Terra,MODIS,76,6.03,290.3,15.1,D,0
40.8847,21.792,315.8,1.5,1.2,2000-11-15,1005,Terra,MODIS,71,6.03,288.4,21.1,D,0
40.6724,21.2032,304.5,1.4,1.2,2000-11-15,1005,Terra,MODIS,59,6.03,293,7.3,D,0
40.8879,21.7992,313.3,1.5,1.2,2000-11-15,1005,Terra,MODIS,74,6.03,288.7,19.8,D,0
40.8912,21.7826,318.3,1.5,1.2,2000-11-15,1005,Terra,MODIS,78,6.03,292.1,27.3,D,0
40.6753,21.1881,308.6,1.4,1.2,2000-11-15,1005,Terra,MODIS,67,6.03,292.9,11.8,D,0
41.3345,24.4769,305.5,1.6,1.2,2000-11-16,910,Terra,MODIS,58,6.03,290.6,12.1,D,0
40.8867,21.7773,310,2.2,1.5,2000-11-16,910,Terra,MODIS,65,6.03,293.1,27.3,D,0
40.889,21.7714,309.1,2.2,1.5,2000-11-16,910,Terra,MODIS,59,6.03,294.1,24.5,D,0
38.1135,21.6401,306.2,2.1,1.4,2000-11-16,911,Terra,MODIS,61,6.03,293.2,15.7,D,0
40.3211,20.7988,302.7,1,1,2000-11-17,953,Terra,MODIS,36,6.03,292,4.9,D,0
39.458,21.7502,310.8,1.1,1.1,2000-11-17,953,Terra,MODIS,71,6.03,286.9,11.8,D,0
40.682,21.2125,317,1.1,1,2000-11-17,953,Terra,MODIS,44,6.03,295.7,13.7,D,0
41.3418,24.4773,301.9,1.4,1.2,2000-11-17,953,Terra,MODIS,24,6.03,288.7,6.7,D,0
41.3287,24.4894,301.2,1.4,1.2,2000-11-17,953,Terra,MODIS,22,6.03,290.7,6.5,D,0
38.0891,23.9123,302.4,1,1,2000-11-21,929,Terra,MODIS,52,6.03,289.2,5.2,D,0
35.2988,24.4745,300.6,1.1,1.1,2000-11-23,917,Terra,MODIS,30,6.03,288.3,4,D,0
35.262,24.4988,302.8,1.1,1.1,2000-11-23,917,Terra,MODIS,52,6.03,292.1,4.6,D,0
35.3003,24.4621,301.2,1.1,1.1,2000-11-23,917,Terra,MODIS,45,6.03,287.4,4.2,D,0
41.1255,22.2813,301.3,1,1,2000-12-12,946,Terra,MODIS,46,6.03,286.9,5.5,D,0
35.2506,24.6805,304.6,1.1,1,2000-12-14,935,Terra,MODIS,59,6.03,288.7,8,D,0
35.2525,24.669,305.6,1.1,1,2000-12-14,935,Terra,MODIS,62,6.03,288.9,8.6,D,0
40.6904,22.7719,300.4,1.2,1.1,2000-12-19,952,Terra,MODIS,37,6.03,283.6,6.7,D,0
38.5633,23.2973,300.2,1,1,2000-12-30,2039,Terra,MODIS,20,6.03,280.8,7.9,N,0
38.5626,23.2953,302.1,1,1,2001-01-06,940,Terra,MODIS,38,6.03,284.7,6.1,D,0
38.5614,24.1307,303.2,1.5,1.2,2001-02-05,952,Terra,MODIS,55,6.03,287.3,10.6,D,0
38.5634,23.2956,304.7,1,1,2001-02-07,940,Terra,MODIS,45,6.03,287.2,6.6,D,0
38.0891,24.5373,303.6,1,1,2001-02-09,928,Terra,MODIS,55,6.03,286,5.8,D,0
38.0907,24.5261,333.6,1,1,2001-02-09,928,Terra,MODIS,89,6.03,289,34.5,D,0
35.2956,23.5819,317.8,1,1,2001-02-16,934,Terra,MODIS,68,6.03,282.8,18.8,D,0
40.7432,22.5022,305.8,1.6,1.3,2001-02-19,1004,Terra,MODIS,62,6.03,281.7,17,D,0
40.5806,22.4927,300.8,1.6,1.3,2001-02-19,1004,Terra,MODIS,42,6.03,282.2,12.6,D,0
40.5844,22.4741,304.1,1.6,1.3,2001-02-19,1004,Terra,MODIS,58,6.03,282.1,16.4,D,0
40.6505,22.7396,305.4,1.2,1.1,2001-02-21,951,Terra,MODIS,61,6.03,285.4,8.9,D,0
40.7303,22.3961,302,1.1,1.1,2001-02-21,951,Terra,MODIS,50,6.03,288.1,5.2,D,0
41.0455,23.4311,302,1.2,1.1,2001-02-21,951,Terra,MODIS,50,6.03,285,7,D,0
40.7798,21.8772,301,1.1,1,2001-02-21,951,Terra,MODIS,44,6.03,272.7,7.7,D,0
37.8909,21.1728,300.3,1.2,1.1,2001-02-25,927,Terra,MODIS,34,6.03,276.7,8.3,D,0
39.347,21.8567,301.6,1.2,1.1,2001-02-25,927,Terra,MODIS,48,6.03,283.6,6.4,D,0
38.3853,23.0649,306.2,1.4,1.2,2001-02-27,915,Terra,MODIS,62,6.03,291.5,9.7,D,0
38.3914,23.0598,303.8,1.4,1.2,2001-02-27,915,Terra,MODIS,50,6.03,292.2,7.2,D,0
40.5442,22.5352,306.6,1.4,1.2,2001-02-28,957,Terra,MODIS,64,6.03,285.5,11.7,D,0
40.6034,22.66,306,1.4,1.2,2001-02-28,957,Terra,MODIS,63,6.03,284.8,10.4,D,0
41.0966,25.1569,304.4,1.3,1.1,2001-03-02,945,Terra,MODIS,59,6.03,289.6,5.7,D,0
35.3064,23.604,306.4,1,1,2001-03-04,934,Terra,MODIS,63,6.03,288.9,6.7,D,0
35.3081,23.5931,305.5,1,1,2001-03-04,934,Terra,MODIS,62,6.03,289.3,6.3,D,0
35.3636,24.7013,304.4,1,1,2001-03-06,921,Terra,MODIS,59,6.03,287.4,4.3,D,0
38.4224,23.0346,309.5,1.3,1.1,2001-03-09,951,Terra,MODIS,60,6.03,296.1,6.9,D,0
39.5539,22.385,300.7,1.2,1.1,2001-03-09,951,Terra,MODIS,41,6.03,286.1,4.1,D,0
38.425,23.0287,311.3,1.3,1.1,2001-03-09,951,Terra,MODIS,68,6.03,295.4,9.1,D,0
39.7632,22.0151,308.9,1,1,2001-03-18,944,Terra,MODIS,59,6.03,297,4.9,D,0
38.0595,21.5353,305.7,1,1,2001-03-18,945,Terra,MODIS,62,6.03,285.9,6.8,D,0
37.0172,21.9484,307.9,1,1,2001-03-20,933,Terra,MODIS,56,6.03,295.6,5,D,0
37.955,24.7864,305.8,1,1,2001-03-20,2036,Terra,MODIS,37,6.03,283.3,9.2,N,0
40.6594,22.6706,313.6,1.3,1.1,2001-03-22,920,Terra,MODIS,71,6.03,297.4,7.3,D,0
37.8314,22.7078,334.2,1.9,1.4,2001-03-23,1003,Terra,MODIS,88,6.03,299.9,76.7,D,0
38.068,24.5113,337,2.4,1.5,2001-03-23,1003,Terra,MODIS,90,6.03,289.3,142.7,D,0
38.0741,24.5054,329.4,2.4,1.5,2001-03-23,1003,Terra,MODIS,86,6.03,289.4,102.8,D,0
37.8479,22.6897,309.2,1.9,1.4,2001-03-23,1003,Terra,MODIS,59,6.03,298.4,10.8,D,0
37.8432,22.7119,314.2,1.9,1.4,2001-03-23,1003,Terra,MODIS,73,6.03,299.9,21.3,D,0
38.0669,24.5376,304.7,2.5,1.5,2001-03-23,1003,Terra,MODIS,41,6.03,290.1,20.6,D,0
37.8363,22.6847,327.3,1.9,1.4,2001-03-23,1003,Terra,MODIS,84,6.03,297.4,52.3,D,0
35.0584,26.2285,322.4,1.1,1,2001-03-24,909,Terra,MODIS,58,6.03,299.6,16.3,D,0
37.5717,21.6059,306.5,1,1,2001-03-27,2042,Terra,MODIS,68,6.03,286.1,9.4,N,0
38.1751,24.2852,308.3,1,1,2001-03-27,2043,Terra,MODIS,49,6.03,289.6,7.7,N,0
38.1675,24.2987,306.4,1,1,2001-03-27,2043,Terra,MODIS,29,6.03,289.3,6.6,N,0
38.166,24.2868,396.7,1,1,2001-03-27,2043,Terra,MODIS,100,6.03,300,244.7,N,0
38.1645,24.2752,363.4,1,1,2001-03-27,2043,Terra,MODIS,100,6.03,293.3,99.4,N,0
38.1736,24.2736,310.8,1,1,2001-03-27,2043,Terra,MODIS,73,6.03,290.3,9.6,N,0
38.164,24.294,308.7,3.6,1.8,2001-03-28,843,Terra,MODIS,32,6.03,296.7,30.8,D,0
40.2144,20.8189,308.6,1.4,1.2,2001-03-29,926,Terra,MODIS,57,6.03,292.8,10.2,D,0
37.5347,22.426,310.4,1.1,1,2001-03-29,927,Terra,MODIS,64,6.03,298,5,D,0
36.8593,22.5314,307.2,1.1,1,2001-03-29,927,Terra,MODIS,53,6.03,295.3,4.2,D,0
38.3145,23.6288,309.5,1,1,2001-04-05,932,Terra,MODIS,68,6.03,295.8,5,D,2
38.1266,23.5257,306,1,1,2001-04-05,932,Terra,MODIS,45,6.03,295.5,4.1,D,0
38.3162,23.6175,309.5,1,1,2001-04-05,932,Terra,MODIS,68,6.03,296.1,5.2,D,2
40.852,26.1661,310.8,1,1,2001-04-07,919,Terra,MODIS,55,6.03,298.7,4.6,D,0
38.5649,23.2984,302.5,1.3,1.1,2001-04-10,950,Terra,MODIS,0,6.03,285,5.9,D,0
40.7599,22.1565,305.9,1.1,1.1,2001-04-26,950,Terra,MODIS,58,6.03,287.6,4.3,D,2
38.3156,23.623,317.1,1.1,1,2001-04-28,938,Terra,MODIS,72,6.03,295.3,7.3,D,2
40.539,22.2171,316.1,1,1,2001-05-05,943,Terra,MODIS,69,6.03,298.9,7.4,D,2
40.5409,22.2052,312.5,1,1,2001-05-05,943,Terra,MODIS,49,6.03,298.5,4.7,D,2
37.0112,22.4584,317.1,1.1,1.1,2001-05-05,944,Terra,MODIS,69,6.03,300.5,9.8,D,0
38.3093,23.6235,322.4,1.2,1.1,2001-05-05,944,Terra,MODIS,68,6.03,301.7,13.6,D,0
39.366,22.8748,318.2,1.1,1,2001-05-05,944,Terra,MODIS,61,6.03,304.5,9.1,D,2
37.1524,21.6564,312.7,1.1,1,2001-05-05,944,Terra,MODIS,55,6.03,298.5,5.9,D,0
38.3128,23.6168,316.8,1.2,1.1,2001-05-05,944,Terra,MODIS,46,6.03,301.7,6.4,D,2
38.0656,23.5147,324.4,1,1,2001-05-07,932,Terra,MODIS,50,6.03,301.8,14.7,D,2
40.7019,22.8192,315.5,1.2,1.1,2001-05-12,949,Terra,MODIS,32,6.03,298.1,9.3,D,2
41.0524,22.7778,308.3,1.2,1.1,2001-05-12,949,Terra,MODIS,63,6.03,295.3,6.5,D,0
38.1178,21.6401,311.5,1,1,2001-05-14,938,Terra,MODIS,49,6.03,295.6,5.9,D,0
40.6899,22.8173,320.2,1.2,1.1,2001-05-28,949,Terra,MODIS,61,6.03,305.2,9,D,2
40.5657,22.1824,320.8,1,1,2001-05-30,937,Terra,MODIS,57,6.03,305.9,8.2,D,0
39.6062,21.7286,323.9,1,1,2001-05-30,937,Terra,MODIS,72,6.03,307.8,7.8,D,0
40.8871,24.7132,319.7,1.1,1,2001-05-30,937,Terra,MODIS,46,6.03,304.3,6.7,D,0
40.5628,22.266,319.6,1,1,2001-05-30,937,Terra,MODIS,64,6.03,305.4,6.5,D,0
38.08,23.5369,326,1.1,1,2001-05-30,937,Terra,MODIS,70,6.03,310.8,4.9,D,2
40.5641,22.194,319.9,1,1,2001-05-30,937,Terra,MODIS,61,6.03,305.4,7,D,0
40.7061,22.2957,319,1,1,2001-05-30,937,Terra,MODIS,39,6.03,304.5,4.9,D,0
39.378,22.0297,323.6,1,1,2001-05-30,937,Terra,MODIS,71,6.03,309.5,6,D,0
38.3145,23.6241,335.2,1,1,2001-06-01,925,Terra,MODIS,82,6.03,314.2,16.3,D,2
38.2624,23.8976,363,1.6,1.2,2001-06-04,2100,Terra,MODIS,100,6.03,296.3,186.1,N,0
38.2701,23.8601,335.3,1.6,1.2,2001-06-04,2100,Terra,MODIS,100,6.03,291.1,68.1,N,0
38.2684,23.8429,366.5,1.6,1.2,2001-06-04,2100,Terra,MODIS,100,6.03,294.5,201.9,N,0
38.2718,23.878,343.2,1.6,1.2,2001-06-04,2100,Terra,MODIS,100,6.03,293,93.7,N,0
38.2607,23.8794,307.6,1.6,1.2,2001-06-04,2100,Terra,MODIS,29,6.03,288.8,15,N,0
38.2737,23.8975,368,1.6,1.2,2001-06-04,2100,Terra,MODIS,100,6.03,296.9,213.8,N,0
38.2667,23.8254,303.7,1.6,1.2,2001-06-04,2100,Terra,MODIS,7,6.03,288.6,10.2,N,0
41.0542,22.7838,314.6,1,1,2001-06-06,942,Terra,MODIS,60,6.03,302.3,5.3,D,0
37.7812,24.9261,318.7,2.7,1.6,2001-06-11,1001,Terra,MODIS,43,6.03,306.2,25,D,0
40.6078,22.1373,317.8,1.1,1.1,2001-06-13,948,Terra,MODIS,58,6.03,300.2,8.2,D,0
38.2075,26.0209,336.3,1.1,1,2001-07-05,911,Terra,MODIS,78,6.03,309.6,24.6,D,0
38.209,26.0091,321.4,1.1,1,2001-07-05,911,Terra,MODIS,20,6.03,307.8,4.5,D,0
40.3699,23.005,325.7,1.5,1.2,2001-07-05,911,Terra,MODIS,58,6.03,304.1,17.4,D,0
40.1583,23.7582,322.1,1.6,1.3,2001-07-06,2059,Terra,MODIS,100,6.03,292.7,36.1,N,0
40.1503,23.7974,305.2,1.6,1.3,2001-07-06,2059,Terra,MODIS,24,6.03,292.5,10.8,N,0
40.1599,23.7767,359.8,1.6,1.3,2001-07-06,2059,Terra,MODIS,100,6.03,297.1,173.4,N,0
40.1471,23.7607,342.1,1.6,1.3,2001-07-06,2059,Terra,MODIS,100,6.03,295,91.2,N,0
40.1487,23.7792,357.7,1.6,1.3,2001-07-06,2059,Terra,MODIS,100,6.03,298.2,161.7,N,0
40.1616,23.7955,309.8,1.6,1.3,2001-07-06,2059,Terra,MODIS,78,6.03,292.7,17.1,N,0
40.155,23.7769,355.6,2.1,1.4,2001-07-07,859,Terra,MODIS,92,6.03,305.3,192.5,D,0
40.1532,23.802,337.2,2.1,1.4,2001-07-07,859,Terra,MODIS,87,6.03,301.3,89.1,D,0
40.1545,23.7693,344.2,2.1,1.4,2001-07-07,859,Terra,MODIS,80,6.03,303.9,122.5,D,0
40.1525,23.7944,353.3,2.1,1.4,2001-07-07,859,Terra,MODIS,96,6.03,303.5,178.4,D,0
40.142,23.7662,320.9,2.1,1.4,2001-07-07,859,Terra,MODIS,0,6.03,299.2,31,D,0
41.1628,22.891,333.4,1,1,2001-07-08,941,Terra,MODIS,82,6.03,301.2,26.3,D,0
41.605,26.2602,321.9,1.4,1.2,2001-07-08,941,Terra,MODIS,64,6.03,303.3,11.5,D,0
39.2219,22.7767,325.3,1.1,1,2001-07-08,942,Terra,MODIS,72,6.03,309.8,10.4,D,0
41.4781,26.4999,301.2,1.6,1.3,2001-07-08,2047,Terra,MODIS,39,6.03,290.9,7.7,N,0
41.3284,26.2234,321.8,2.3,1.5,2001-07-09,846,Terra,MODIS,69,6.03,299.9,33.1,D,0
41.3246,26.2287,318,2.3,1.5,2001-07-09,846,Terra,MODIS,63,6.03,299.4,21.1,D,0
39.5526,20.5613,328,1.2,1.1,2001-07-10,930,Terra,MODIS,75,6.03,307.3,19.5,D,0
39.551,20.575,318.3,1.2,1.1,2001-07-10,930,Terra,MODIS,37,6.03,305.6,6.9,D,0
38.2885,23.3418,327.8,1,1,2001-07-10,930,Terra,MODIS,72,6.03,311.4,8.8,D,0
37.5973,24.7206,312.5,1,1,2001-07-12,918,Terra,MODIS,53,6.03,301,9,D,3
37.602,24.6858,310.8,1,1,2001-07-12,918,Terra,MODIS,30,6.03,299.5,7.5,D,3
37.6004,24.6975,313,1,1,2001-07-12,918,Terra,MODIS,46,6.03,301.1,9.2,D,3
37.5989,24.709,314.8,1,1,2001-07-12,918,Terra,MODIS,55,6.03,302.3,10.8,D,3
37.5958,24.7321,311.2,1,1,2001-07-12,918,Terra,MODIS,47,6.03,299.9,8,D,3
38.5652,23.2877,310,1.3,1.1,2001-07-12,2022,Terra,MODIS,79,6.03,294.4,12.1,N,0
38.0909,24.4207,315.8,2.4,1.5,2001-07-13,1000,Terra,MODIS,57,6.03,297.4,33.9,D,0
41.1036,22.524,332.6,1.6,1.2,2001-07-13,1000,Terra,MODIS,83,6.03,306.6,35.8,D,0
41.1074,22.5054,336.6,1.6,1.2,2001-07-13,1000,Terra,MODIS,87,6.03,306.3,48.5,D,0
38.2713,21.8689,312,2.3,1.5,2001-07-14,2010,Terra,MODIS,84,6.03,294.3,33.1,N,0
38.2727,21.8876,305.8,2.3,1.5,2001-07-14,2010,Terra,MODIS,57,6.03,294.5,19.5,N,0
38.2677,21.8653,304.8,2.3,1.5,2001-07-14,2010,Terra,MODIS,47,6.03,293.3,17.5,N,0
41.0585,24.8249,335.2,1.4,1.2,2001-07-15,947,Terra,MODIS,84,6.03,312.9,34.1,D,0
41.0617,24.8083,327.5,1.4,1.2,2001-07-15,947,Terra,MODIS,40,6.03,311.6,18.1,D,0
41.0513,24.8049,359.1,1.4,1.2,2001-07-15,947,Terra,MODIS,99,6.03,311.3,118,D,0
41.0481,24.8214,337.8,1.4,1.2,2001-07-15,947,Terra,MODIS,86,6.03,311.7,40.3,D,0
40.6059,22.1378,318.8,1.1,1.1,2001-07-15,948,Terra,MODIS,23,6.03,305.6,6.8,D,0
37.7619,24.9029,324.1,1.7,1.3,2001-07-15,948,Terra,MODIS,52,6.03,307.6,23.2,D,0
39.446,22.2653,328,1.2,1.1,2001-07-15,948,Terra,MODIS,68,6.03,310.9,12.8,D,0
39.4437,22.2784,328.5,1.2,1.1,2001-07-15,948,Terra,MODIS,76,6.03,311.1,13.2,D,0
41.5567,26.4207,305,1.6,1.2,2001-07-16,1958,Terra,MODIS,62,6.03,293.4,11.6,N,0
39.1867,22.4019,337.6,1,1,2001-07-17,936,Terra,MODIS,86,6.03,307.5,24.2,D,0
39.1761,22.4112,347.2,1,1,2001-07-17,936,Terra,MODIS,93,6.03,306.6,40.2,D,0
39.1778,22.3997,336.1,1,1,2001-07-17,936,Terra,MODIS,85,6.03,308.8,20.7,D,0
39.185,22.4133,347.7,1,1,2001-07-17,936,Terra,MODIS,93,6.03,306.4,42.4,D,0
40.2893,21.7742,330.7,1.2,1.1,2001-07-19,923,Terra,MODIS,68,6.03,314.5,13,D,2
41.5,26.4895,330.5,1,1,2001-07-19,923,Terra,MODIS,74,6.03,309.4,14.4,D,0
38.5949,23.7858,335,1,1,2001-07-19,924,Terra,MODIS,70,6.03,314.1,21.1,D,0
38.5933,23.7975,327.5,1,1,2001-07-19,924,Terra,MODIS,31,6.03,313.4,11.4,D,0
38.5844,23.7954,333,1,1,2001-07-19,924,Terra,MODIS,79,6.03,312.5,16.7,D,0
38.586,23.7839,343.2,1,1,2001-07-19,924,Terra,MODIS,89,6.03,312.5,32.5,D,0
37.5096,22.0845,313.4,1.9,1.3,2001-07-20,2111,Terra,MODIS,87,6.03,293.3,29.4,N,0
38.5349,24.1579,345.1,1.2,1.1,2001-07-21,911,Terra,MODIS,91,6.03,312.1,51.1,D,0
40.2845,21.7758,323.3,1.8,1.3,2001-07-21,911,Terra,MODIS,64,6.03,307.9,17.3,D,2
41.5776,26.1991,339.3,1.1,1.1,2001-07-21,911,Terra,MODIS,81,6.03,308.6,32.6,D,0
41.5759,26.2123,328.6,1.1,1.1,2001-07-21,911,Terra,MODIS,74,6.03,306.5,14.8,D,0
38.5365,24.143,336.8,1.2,1.1,2001-07-21,911,Terra,MODIS,85,6.03,310.4,31.2,D,0
38.5448,24.1595,333.3,1.2,1.1,2001-07-21,911,Terra,MODIS,81,6.03,309.6,25.2,D,0
41.5818,26.2061,341.3,1.1,1.1,2001-07-21,911,Terra,MODIS,88,6.03,307.8,36.9,D,0
41.578,26.3941,334.1,1.1,1,2001-07-21,911,Terra,MODIS,80,6.03,310.4,23.2,D,0
41.5687,26.392,326.8,1.1,1,2001-07-21,911,Terra,MODIS,68,6.03,311.4,12.7,D,0
40.8717,22.2462,302.1,1.6,1.2,2001-07-21,2016,Terra,MODIS,47,6.03,291.8,8.4,N,0
41.2754,23.1159,324.4,1.4,1.2,2001-07-21,2016,Terra,MODIS,100,6.03,294.3,35.1,N,0
41.2651,23.1185,320.5,1.4,1.2,2001-07-21,2016,Terra,MODIS,100,6.03,294.6,27.7,N,0
40.868,22.2272,305.6,1.6,1.2,2001-07-21,2016,Terra,MODIS,65,6.03,292.3,12,N,0
39.4124,22.4076,335.9,1.4,1.2,2001-07-22,954,Terra,MODIS,86,6.03,313.8,31.3,D,0
37.7124,22.8448,350.8,1.1,1.1,2001-07-24,942,Terra,MODIS,95,6.03,308.7,62.8,D,0
37.7103,22.857,327.7,1.1,1.1,2001-07-24,942,Terra,MODIS,57,6.03,305.1,15.6,D,0
